nitrogen,phosphorus,potassium,temperature_c,humidity_pct,soil_ph,rainfall_mm,ndvi,soil_moisture,forecast_temperature_c,forecast_rainfall_7d_mm,market_price,market_demand_index,crop
5.0,55.87,57.88,22.87,44.27,5.54,740.56,0.447,0.401,23.81,62.36,4977.03,0.909,groundnut
77.64,77.15,36.71,20.28,58.68,8.19,470.56,0.542,0.409,23.04,44.45,6532.66,0.842,chickpea
77.84,27.6,31.08,28.89,79.58,6.71,771.77,0.739,0.499,29.56,0.0,2304.24,0.708,tomato
91.75,60.81,53.41,15.06,84.47,5.35,639.58,0.645,0.424,15.31,22.28,2074.25,0.62,potato
73.95,50.02,56.2,28.58,79.95,6.26,797.93,0.634,0.47,25.14,42.93,2470.53,0.766,tomato
138.58,36.04,64.54,36.08,80.81,6.22,2003.12,0.633,0.75,34.14,160.42,500.0,0.792,sugarcane
54.01,59.34,45.45,17.62,51.05,6.71,480.3,0.503,0.347,25.18,53.26,1634.03,0.791,potato
104.05,51.34,44.18,25.76,49.37,6.91,571.43,0.731,0.409,25.31,0.0,3117.5,0.656,wheat
87.73,15.49,36.41,26.69,83.75,6.65,1603.27,0.527,0.75,26.8,189.36,2464.6,0.897,rice
69.6,44.87,28.01,19.65,49.72,6.89,391.21,0.487,0.402,22.32,91.02,6030.95,0.785,chickpea
80.96,28.61,48.93,22.07,70.45,6.57,869.39,0.651,0.562,21.82,60.03,6130.22,0.839,cotton
115.91,22.54,38.48,24.54,74.56,5.73,605.51,0.731,0.402,24.71,24.01,6120.24,0.698,cotton
102.22,51.47,40.7,14.67,45.22,7.03,363.47,0.545,0.278,12.93,0.0,2488.6,0.892,wheat
37.76,50.34,21.85,23.06,59.21,6.83,449.01,0.477,0.399,21.55,61.99,5685.68,0.671,groundnut
122.95,66.97,42.15,32.02,71.96,7.63,1143.29,0.74,0.653,32.17,90.71,500.0,0.696,sugarcane
107.72,46.88,31.43,18.35,78.75,6.59,720.33,0.642,0.527,18.17,104.43,1612.25,0.905,maize
77.22,44.75,36.41,29.11,59.08,6.57,764.41,0.573,0.561,30.76,104.91,2511.23,0.822,maize
88.37,46.86,50.55,21.03,69.57,5.23,556.17,0.629,0.454,18.99,100.81,1126.74,0.705,potato
64.09,22.0,23.58,27.17,68.5,6.77,509.56,0.632,0.359,25.0,5.56,1744.2,1.0,maize
44.75,61.38,16.27,25.69,59.37,6.85,431.16,0.421,0.48,25.05,81.05,5910.06,0.7,chickpea
69.35,20.2,43.7,30.51,38.4,5.87,909.75,0.482,0.486,27.59,110.0,5233.04,0.739,cotton
92.26,43.74,9.67,31.37,71.7,6.42,746.32,0.55,0.468,29.59,57.99,2562.57,0.83,wheat
101.31,30.34,41.91,27.05,52.28,6.19,1077.57,0.693,0.592,27.88,83.77,2450.81,0.931,maize
61.81,46.07,52.2,20.76,65.42,5.7,684.16,0.561,0.521,19.73,81.49,2367.32,0.83,tomato
23.24,48.87,45.04,21.54,77.79,6.92,846.28,0.51,0.592,20.13,114.57,5987.63,0.897,soybean
78.35,52.73,23.08,24.56,82.0,6.03,524.08,0.727,0.424,22.92,19.15,2134.43,0.828,tomato
81.75,44.22,33.71,18.63,78.52,6.2,810.68,0.59,0.601,20.54,90.79,7407.17,0.871,cotton
85.77,37.04,62.55,31.0,54.31,6.1,641.3,0.661,0.455,31.36,35.24,7024.19,0.598,cotton
57.58,35.78,39.89,23.69,77.88,5.79,790.54,0.636,0.582,22.96,86.78,5054.36,0.625,soybean
55.29,73.61,64.59,22.41,51.53,6.07,343.34,0.59,0.369,22.79,0.0,7181.99,0.572,groundnut
41.38,37.15,48.31,22.23,61.51,7.06,610.84,0.587,0.392,21.34,41.08,4377.88,0.798,chickpea
34.27,42.91,54.02,23.34,65.56,6.33,529.13,0.519,0.384,22.84,34.98,5880.49,0.64,groundnut
121.49,30.69,54.74,33.54,86.37,7.22,2071.13,0.7,0.75,34.98,158.67,500.0,0.793,sugarcane
46.92,43.5,41.49,28.68,44.68,6.26,706.46,0.45,0.501,26.08,52.02,4077.37,0.79,groundnut
87.36,40.16,44.43,21.25,94.23,6.41,762.47,0.634,0.568,17.41,77.88,2187.14,0.541,tomato
100.36,48.64,29.22,27.28,52.36,5.79,1029.8,0.501,0.557,26.99,115.34,1949.49,0.707,maize
81.97,39.65,47.16,26.55,42.42,7.96,461.86,0.589,0.379,26.89,114.92,2764.29,0.821,wheat
108.04,35.1,74.94,25.07,89.18,6.7,1862.41,0.767,0.75,27.96,193.7,500.0,0.868,sugarcane
66.08,41.75,35.94,18.92,55.16,6.18,412.16,0.487,0.281,17.15,52.06,2421.48,0.603,wheat
124.64,54.61,41.0,20.84,58.13,6.33,493.14,0.705,0.481,18.6,83.36,6363.04,0.748,cotton
73.15,41.34,61.52,28.86,78.05,5.47,537.26,0.558,0.429,29.29,50.47,2146.68,0.784,tomato
60.58,33.2,35.48,22.42,53.51,4.66,769.92,0.663,0.445,23.79,29.8,2187.87,0.869,tomato
26.32,41.95,38.07,33.72,32.83,7.51,676.06,0.381,0.463,32.14,140.76,4577.93,0.613,groundnut
111.61,52.16,38.53,18.46,54.86,6.51,820.61,0.557,0.566,17.4,128.29,2553.64,0.705,wheat
130.06,50.26,40.24,29.69,83.92,6.02,1092.26,0.704,0.736,27.21,57.86,2254.37,0.855,rice
78.68,55.88,58.25,22.25,65.14,6.39,893.25,0.623,0.533,22.23,174.43,2198.87,0.629,maize
16.23,41.81,43.25,21.65,45.46,7.45,389.88,0.462,0.425,24.72,94.02,6224.93,0.823,chickpea
77.87,55.35,51.39,22.97,66.64,6.63,656.93,0.627,0.403,25.06,124.71,2131.48,0.745,maize
109.86,38.74,52.84,26.4,64.87,6.26,1154.82,0.632,0.667,27.3,27.29,2560.14,0.95,rice
67.33,31.2,58.97,22.72,54.48,7.88,750.19,0.576,0.47,23.46,98.99,4736.45,0.527,cotton
91.01,46.86,35.67,23.75,53.27,6.1,594.39,0.582,0.514,25.81,94.55,2458.1,0.687,tomato
118.56,72.26,49.17,37.37,64.12,6.46,642.53,0.633,0.553,38.57,103.93,5658.92,0.595,cotton
122.26,41.62,55.81,27.6,52.5,6.3,881.27,0.706,0.472,31.02,128.57,8745.62,0.863,cotton
88.14,28.19,65.77,25.35,61.96,6.03,541.14,0.705,0.378,22.99,54.87,1903.22,0.66,potato
117.66,44.55,53.21,28.38,73.58,6.3,1647.15,0.735,0.75,32.29,217.98,500.0,0.677,sugarcane
73.52,53.62,28.36,15.8,62.84,5.71,439.31,0.533,0.388,17.1,40.71,1746.4,0.736,tomato
122.18,31.76,34.08,21.48,89.45,5.2,897.08,0.676,0.626,20.43,76.93,2085.98,0.867,rice
116.36,55.92,68.01,31.63,67.31,6.67,1391.29,0.596,0.75,27.91,169.95,500.0,0.773,sugarcane
57.45,54.57,73.21,23.4,66.7,6.72,547.9,0.537,0.436,21.12,92.98,6741.58,0.638,cotton
70.93,57.49,30.69,21.38,80.03,5.43,485.48,0.608,0.395,17.02,47.66,1890.48,0.697,potato
87.36,48.46,43.12,30.19,55.35,5.96,843.1,0.676,0.439,30.92,119.4,2648.92,0.944,maize
135.25,52.33,42.14,22.13,84.83,6.81,1569.59,0.798,0.75,19.38,159.4,500.0,0.774,sugarcane
66.63,59.35,19.93,30.42,50.24,6.2,603.55,0.496,0.491,30.66,84.25,5255.05,0.598,soybean
101.85,37.58,33.91,22.52,87.07,6.27,1495.01,0.754,0.75,19.61,115.58,2480.8,0.856,rice
56.37,55.11,54.39,24.11,54.15,5.52,699.51,0.678,0.45,26.36,42.75,4866.65,0.819,soybean
57.43,52.6,45.37,21.11,76.79,5.86,405.13,0.628,0.408,17.32,51.35,1903.98,0.694,potato
116.15,50.29,36.92,16.46,69.06,6.6,473.74,0.529,0.523,16.08,81.52,2454.94,0.859,maize
95.62,42.15,48.0,25.55,64.75,6.58,730.98,0.732,0.559,26.24,83.46,6835.96,0.763,cotton
63.8,40.08,29.58,24.36,55.61,6.01,665.09,0.453,0.39,20.65,23.77,6164.71,0.749,cotton
150.0,56.22,54.51,30.61,70.8,6.26,1547.88,0.679,0.75,27.63,152.72,500.0,0.717,sugarcane
85.56,30.5,38.23,26.72,66.32,6.64,731.15,0.63,0.502,28.31,2.7,6988.04,0.779,cotton
28.15,66.54,35.07,21.49,60.18,7.3,377.18,0.439,0.331,21.39,0.0,6588.48,0.687,chickpea
171.18,61.65,36.17,27.63,84.67,7.43,1478.23,0.797,0.75,27.5,173.19,500.0,0.686,sugarcane
107.25,55.59,34.42,25.16,81.89,6.84,1268.18,0.658,0.75,25.23,87.24,500.0,0.719,sugarcane
41.94,67.36,25.3,20.0,34.21,6.64,358.7,0.477,0.274,22.2,0.0,6055.91,0.626,chickpea
86.96,66.23,29.09,18.58,59.47,6.65,828.01,0.557,0.557,15.64,87.74,2452.31,0.875,maize
117.36,51.03,33.99,26.56,78.78,7.49,1046.49,0.663,0.54,30.16,110.29,500.0,0.62,sugarcane
32.31,34.63,39.73,26.56,41.18,6.03,1041.84,0.6,0.654,25.87,148.62,5219.88,0.779,soybean
89.9,69.71,40.99,33.54,76.46,5.86,1450.04,0.589,0.715,33.47,124.85,2267.4,0.847,rice
44.62,57.92,38.56,26.95,54.67,6.4,450.86,0.512,0.287,28.4,65.6,6340.35,0.869,chickpea
121.36,50.97,39.16,19.79,56.86,6.87,693.81,0.669,0.429,19.37,25.04,2494.56,0.814,wheat
87.79,47.27,22.17,22.9,85.45,5.86,733.95,0.619,0.494,20.37,92.65,1689.55,0.791,rice
61.46,48.01,21.05,20.49,67.15,7.0,1029.53,0.428,0.589,20.95,133.47,4510.31,0.76,soybean
126.5,58.62,43.62,26.56,77.77,5.39,914.53,0.746,0.568,23.56,101.6,2449.19,0.967,rice
98.94,32.2,40.75,25.19,63.92,5.94,483.58,0.77,0.436,23.79,25.89,6416.42,0.619,cotton
113.98,40.97,57.75,30.65,66.89,6.33,959.39,0.608,0.543,29.52,54.25,7612.75,0.749,cotton
110.36,29.4,49.44,24.98,86.0,5.73,1449.09,0.704,0.75,23.7,139.64,2390.07,0.712,rice
68.1,27.9,43.54,31.26,80.32,6.86,918.72,0.671,0.593,35.02,107.13,2422.85,0.955,tomato
17.23,52.2,30.44,28.62,69.22,6.56,617.03,0.482,0.435,28.31,63.02,5584.21,0.759,groundnut
70.79,46.42,51.92,24.08,64.19,7.37,678.73,0.575,0.493,24.97,96.87,2595.56,0.762,wheat
127.56,53.3,56.39,27.22,84.02,6.2,1061.4,0.762,0.657,29.74,99.41,1948.97,0.974,rice
131.05,45.53,36.93,25.69,61.76,6.15,1386.81,0.714,0.749,23.96,133.75,2304.46,0.869,rice
42.61,52.2,51.44,25.24,82.75,5.95,643.75,0.639,0.491,27.52,16.8,5008.78,0.859,soybean
110.44,49.13,47.97,20.15,49.69,6.23,901.5,0.675,0.429,19.66,104.71,3002.01,0.67,wheat
86.08,56.01,38.1,23.04,73.88,6.0,886.33,0.622,0.558,18.95,81.47,2051.81,0.824,rice
114.84,44.55,47.9,26.56,85.77,6.49,1450.1,0.728,0.75,27.03,91.69,2061.49,0.76,rice
38.53,71.08,38.54,24.9,56.05,5.7,560.98,0.477,0.49,27.46,25.82,4864.31,0.848,groundnut
62.7,41.15,38.43,22.7,77.73,5.7,685.36,0.594,0.56,22.8,96.58,1962.49,0.985,tomato
143.32,53.93,55.36,29.03,74.02,6.78,1170.5,0.721,0.703,29.62,123.5,500.0,0.819,sugarcane
71.98,42.91,30.0,16.53,45.26,6.34,482.61,0.615,0.339,19.65,61.65,1783.37,0.697,wheat
147.06,28.49,52.26,23.29,82.07,6.23,1572.32,0.849,0.75,24.3,154.39,500.0,0.756,sugarcane
32.61,63.05,47.51,26.89,53.97,7.12,483.68,0.483,0.385,28.55,98.52,6722.54,0.629,groundnut
63.42,36.33,33.22,13.81,41.68,7.97,471.04,0.332,0.341,14.73,66.75,2031.38,0.79,wheat
66.37,44.72,36.9,29.23,47.1,5.6,702.54,0.637,0.506,28.99,91.44,2364.56,0.872,maize
83.97,60.15,32.87,27.91,84.48,6.29,498.44,0.761,0.497,29.48,21.45,2095.68,0.662,tomato
71.28,40.98,48.24,21.7,54.92,5.81,698.06,0.604,0.508,24.68,0.0,1858.97,0.495,potato
101.7,42.4,38.22,17.74,60.0,7.13,658.08,0.734,0.392,18.07,24.71,2716.74,0.622,wheat
94.77,35.13,53.04,31.02,73.58,6.16,1590.18,0.518,0.75,34.97,227.79,1559.83,0.774,rice
94.28,39.33,40.85,24.68,74.76,6.69,679.08,0.647,0.499,26.25,67.6,1816.36,0.934,potato
83.44,36.79,26.15,13.14,53.6,6.14,938.65,0.589,0.577,9.48,109.89,2321.45,0.891,wheat
56.52,58.56,40.71,22.37,54.8,5.77,847.98,0.603,0.57,19.96,42.11,2574.03,0.893,tomato
66.19,45.56,44.53,24.88,76.26,6.37,457.45,0.719,0.379,23.58,24.9,5789.6,0.576,soybean
130.26,27.87,39.36,19.73,53.32,6.37,658.06,0.76,0.49,21.61,65.81,6263.86,0.968,cotton
138.32,55.65,57.04,29.15,76.45,6.39,1132.96,0.723,0.613,30.74,108.76,500.0,0.701,sugarcane
86.25,34.01,28.55,21.19,46.76,6.65,569.5,0.613,0.475,23.49,102.07,2279.73,0.755,wheat
152.63,43.72,47.16,23.14,61.52,7.57,1556.44,0.762,0.702,23.85,196.15,500.0,0.867,sugarcane
84.49,46.67,44.75,17.37,39.62,7.05,783.03,0.58,0.494,15.44,163.62,2572.72,0.763,wheat
113.26,34.39,19.93,23.22,59.21,5.9,696.87,0.669,0.549,27.27,67.73,7395.75,0.871,cotton
108.59,37.61,35.53,21.25,47.3,7.1,605.56,0.616,0.505,19.0,35.11,6192.79,0.912,cotton
132.67,27.83,57.7,28.42,45.87,6.15,1059.77,0.705,0.64,28.0,87.08,7028.63,0.723,cotton
47.96,30.81,48.71,27.4,45.25,7.16,557.43,0.749,0.439,28.1,85.88,7435.18,0.753,chickpea
137.13,32.28,57.98,22.43,85.05,6.14,794.87,0.682,0.491,19.84,75.65,500.0,0.938,sugarcane
76.12,19.16,35.45,21.41,94.9,6.19,1309.59,0.558,0.695,24.51,193.34,2337.22,0.647,rice
100.77,32.56,37.72,19.47,49.62,6.91,495.43,0.72,0.424,19.25,83.1,2682.14,0.706,wheat
89.42,37.64,33.99,21.34,33.71,7.54,731.11,0.503,0.508,24.33,80.58,7654.19,0.881,cotton
41.04,74.69,26.58,35.06,56.55,8.1,321.78,0.388,0.315,34.91,55.98,5014.82,0.787,chickpea
47.04,53.12,35.18,28.88,43.58,6.36,400.09,0.448,0.32,29.61,16.38,4740.25,0.808,groundnut
64.83,53.63,43.44,23.65,55.12,6.68,580.64,0.696,0.383,23.19,92.77,4745.67,0.829,soybean
49.32,30.75,55.78,18.43,81.04,7.07,607.37,0.474,0.52,17.62,42.7,2382.98,0.747,tomato
83.49,42.46,35.33,26.89,46.05,6.84,816.14,0.74,0.456,28.91,72.43,2732.31,0.713,wheat
6.2,69.7,49.04,25.06,44.39,6.54,673.28,0.61,0.405,24.57,34.29,5248.87,0.826,groundnut
50.75,61.33,32.09,23.83,47.44,7.56,448.84,0.563,0.395,27.1,23.7,7513.44,0.618,chickpea
121.46,52.38,44.16,18.06,64.73,6.71,685.01,0.757,0.539,19.36,63.17,1323.11,0.907,maize
34.44,56.32,28.15,19.69,54.87,6.5,204.43,0.452,0.376,16.43,0.0,5879.36,0.54,chickpea
50.4,45.68,51.08,29.08,57.92,6.46,702.54,0.515,0.425,30.29,37.98,2370.88,1.0,tomato
83.09,33.27,30.48,29.4,75.31,7.11,667.13,0.698,0.504,28.73,45.24,6682.41,0.711,cotton
66.28,64.08,38.51,20.07,43.99,6.37,829.98,0.379,0.417,16.85,123.98,2645.07,0.679,wheat
63.14,40.54,43.12,26.02,60.3,5.99,694.61,0.578,0.499,24.24,111.2,2339.93,0.864,tomato
62.21,38.72,41.22,25.87,70.25,5.94,736.45,0.635,0.526,28.7,72.27,7470.26,0.854,cotton
90.59,58.04,50.34,16.62,45.35,6.06,883.52,0.51,0.517,13.67,67.1,1820.08,0.734,maize
76.89,32.39,65.3,18.41,64.32,6.91,893.11,0.526,0.499,18.67,0.0,2153.51,0.823,maize
35.94,39.17,31.48,23.09,57.22,6.95,626.82,0.545,0.431,24.14,87.18,5756.23,0.606,chickpea
31.63,47.2,43.51,25.22,72.66,6.6,596.36,0.638,0.488,24.33,50.43,4817.39,0.96,groundnut
62.33,45.45,32.17,24.79,48.62,7.47,440.37,0.637,0.361,23.22,84.84,5035.58,0.64,chickpea
72.45,49.4,28.13,25.43,88.8,5.81,1523.08,0.663,0.75,22.96,115.35,2508.48,0.799,rice
70.23,23.89,37.17,17.83,67.17,7.02,635.56,0.574,0.56,15.51,41.33,3099.0,0.705,wheat
76.63,48.67,30.67,23.98,59.29,6.23,853.31,0.674,0.53,26.88,40.29,1628.7,0.761,maize
108.27,52.97,47.32,33.56,82.9,6.2,949.77,0.651,0.599,35.34,80.11,2596.23,0.889,rice
118.21,39.16,35.43,25.52,76.91,6.07,946.97,0.759,0.642,25.79,118.35,1937.06,0.764,tomato
81.51,24.35,44.69,29.52,72.89,5.77,952.25,0.728,0.584,29.52,122.21,1825.13,0.667,maize
60.87,30.53,35.65,30.0,54.75,6.36,668.39,0.609,0.56,30.05,54.77,5750.47,0.706,groundnut
49.99,48.98,40.12,15.74,60.83,6.07,507.35,0.396,0.426,11.37,50.51,1821.29,0.786,potato
48.85,52.35,53.17,32.22,66.38,6.55,703.33,0.506,0.46,28.85,98.29,5302.17,0.797,soybean
20.02,41.52,28.57,22.27,60.55,6.27,701.32,0.5,0.516,20.78,111.47,3917.87,0.852,soybean
88.4,54.64,21.71,17.54,59.79,5.88,513.43,0.576,0.437,17.03,61.13,1901.6,0.742,potato
136.95,33.58,50.07,23.43,55.81,6.35,636.78,0.684,0.472,19.33,129.92,6593.4,0.635,cotton
74.74,23.87,43.63,25.99,62.21,6.59,653.1,0.66,0.51,26.68,65.94,2051.55,0.963,maize
43.45,54.61,34.61,30.71,71.14,6.17,751.5,0.544,0.445,31.64,15.31,5905.24,0.753,soybean
51.62,48.93,48.53,23.57,54.33,6.76,606.29,0.586,0.436,21.25,63.62,6069.65,0.981,groundnut
119.54,49.01,56.23,20.46,87.81,7.24,1382.32,0.68,0.75,22.09,209.24,500.0,0.936,sugarcane
106.89,31.69,61.64,14.2,29.57,6.23,371.36,0.567,0.377,10.98,0.0,1962.64,0.778,wheat
72.73,43.71,42.45,24.92,76.73,6.15,600.39,0.619,0.403,23.21,128.71,1938.64,0.691,tomato
33.39,49.39,45.32,25.08,65.02,6.92,574.52,0.661,0.439,27.82,87.44,5665.34,0.838,groundnut
17.34,32.87,25.17,27.75,53.34,7.3,523.12,0.458,0.483,26.49,101.53,6931.24,0.521,chickpea
109.35,45.29,34.28,22.55,85.41,6.69,973.16,0.698,0.613,24.83,112.62,2435.21,0.813,rice
137.23,55.4,52.11,22.26,67.22,6.69,1729.69,0.696,0.75,20.46,185.52,500.0,0.712,sugarcane
86.48,62.62,15.9,22.44,73.42,6.46,1008.89,0.682,0.59,23.6,54.7,1464.59,0.759,maize
10.48,39.01,36.88,23.41,58.45,6.91,599.38,0.537,0.357,19.79,64.44,6268.74,0.722,chickpea
76.56,44.28,33.04,20.94,44.88,6.36,660.72,0.587,0.459,18.38,71.71,2759.4,0.739,wheat
97.53,10.65,68.54,25.95,65.35,7.45,735.05,0.665,0.576,26.87,94.02,5400.68,0.871,cotton
77.72,30.99,60.59,25.93,59.92,6.89,354.06,0.702,0.303,26.02,77.7,1751.28,0.847,tomato
96.46,44.9,45.63,23.88,78.95,5.47,707.99,0.692,0.454,23.46,150.83,1924.45,0.823,tomato
66.39,33.32,55.97,22.7,84.33,6.62,481.24,0.601,0.452,26.1,81.38,6561.47,0.729,groundnut
128.74,56.68,52.86,31.54,92.82,6.12,1482.68,0.657,0.75,31.97,135.93,500.0,0.688,sugarcane
58.45,53.32,42.12,19.74,56.43,5.63,547.48,0.421,0.461,22.46,94.9,1325.67,0.813,potato
21.08,53.7,30.9,24.03,55.33,5.41,638.49,0.605,0.487,20.15,79.95,6814.98,0.719,groundnut
124.42,46.58,37.02,22.84,76.81,6.65,1029.46,0.743,0.609,22.94,102.81,2281.66,1.0,rice
90.92,17.77,32.55,23.39,54.49,6.98,570.45,0.663,0.495,24.42,66.66,2441.53,0.774,wheat
136.54,59.06,74.21,22.98,74.53,6.37,1378.65,0.736,0.742,20.83,140.25,500.0,0.92,sugarcane
58.98,46.61,32.76,34.77,65.75,6.0,654.12,0.484,0.485,35.7,5.59,3996.61,0.771,soybean
52.16,20.61,48.6,27.73,65.85,6.35,1133.46,0.563,0.665,26.25,119.69,2351.89,0.829,tomato
100.19,43.78,25.66,24.29,46.32,6.59,496.2,0.547,0.381,19.88,58.68,5679.49,0.666,cotton
85.16,40.41,59.27,27.52,76.4,5.49,697.33,0.713,0.498,30.62,93.15,2764.15,0.703,tomato
124.52,30.38,35.44,23.28,48.04,7.03,915.16,0.667,0.477,21.12,29.82,2007.87,0.844,maize
58.31,42.46,12.61,24.08,66.33,6.93,541.26,0.578,0.413,23.97,57.31,2238.1,0.631,maize
124.53,38.15,50.9,22.69,97.95,7.52,1399.13,0.807,0.75,21.59,181.71,2249.96,0.713,rice
32.56,67.54,44.88,17.8,59.58,6.02,690.49,0.538,0.453,18.57,20.02,6558.93,0.682,chickpea
97.98,30.46,31.83,28.78,75.47,5.84,1382.49,0.668,0.684,28.97,92.77,2586.13,0.973,rice
49.81,54.26,24.15,27.21,58.31,6.51,678.1,0.523,0.46,27.16,51.67,4112.38,0.846,groundnut
88.77,67.2,22.68,16.26,67.06,6.01,808.05,0.434,0.508,12.01,81.91,1873.35,0.889,potato
13.7,47.22,31.81,24.65,76.98,5.82,683.05,0.582,0.524,27.12,52.36,5670.32,0.675,groundnut
136.12,71.43,53.75,21.89,80.73,6.5,1510.94,0.708,0.75,21.86,126.83,500.0,0.975,sugarcane
10.03,55.6,31.35,32.64,56.53,5.94,783.74,0.486,0.473,34.78,55.42,6467.79,0.938,groundnut
